Y,X,fid,BIN,Des_Addres,Arch_Build,cat_no
40.90248531,-73.9126675,1,2086150,5251 Sycamore Avenue,Hall & Paufue,0
40.90200436,-73.91209006,2,2086156,5243 Sycamore Avenue,Roland A. Gallimore,0
40.90190416,-73.91248511,3,2123816,5245 Sycamore Avenue,Alton L. Craft,0
40.90271087,-73.91158245,4,2086162,5286 Sycamore Avenue,Frederick Clarke Withers,0
40.90149234,-73.91266892,5,2124107,5225 Sycamore Avenue,Not determined,0
40.90159991,-73.91084823,6,2086170,5251 Independence Avenue,Not determined,0
40.90291675,-73.91049178,7,2086165,5297 Independence Avenue,William Schoen,0
40.9020772,-73.91247266,8,2086149,5245 Sycamore Avenue,Alton L. Craft,0
40.90121984,-73.91224198,9,2086157,5209 Sycamore Avenue,Alton L. Craft,0
40.90234533,-73.91230961,10,2086148,5249 Sycamore Avenue,Julius Gregory,0
40.90248497,-73.91102003,11,2086167,5281 Independence Avenue,Not determined,0
40.90252934,-73.91187798,12,2112688,5255 Sycamore Avenue,Robert M. Byers,0
40.902061,-73.91139407,13,2091937,5260 Sycamore Avenue,Jerome Robert Cerny & G. R. W. Watland,0
40.90062197,-73.91173912,14,2086159,5200 Sycamore Avenue,Dwight James Baum,2
40.90136206,-73.91153723,15,2086160,5220 Sycamore Avenue,Clarence L. Sefert,0
40.90102322,-73.91222399,16,2086158,5205 Sycamore Avenue,Not determined,0
40.90166695,-73.91277771,17,2086147,5225 Sycamore Avenue,Not determined,0
40.90226798,-73.91073527,18,2086168,5271 Independence Avenue,Hood & Manice,0
40.90270248,-73.91191279,19,2086154,5255 Sycamore Avenue,Brite & Bacon,0
40.90124606,-73.91296292,20,2086146,5215 Sycamore Avenue,Ludwig P. Bono,0
40.90193604,-73.91079502,21,2086169,5261 Independence Avenue,Thomas S. Wall (attributed),0
40.90294171,-73.91125901,22,2086164,5294-(5298) Sycamore Avenue,Julius Gregory,0
40.90121401,-73.91091973,23,2086171,5247 Independence Avenue,Thomas S. Wall,0
40.90314976,-73.91182,24,2086153,5275 Sycamore Avenue,Burnett V. Vickers; succeeded by Albert Wheeler,0
40.90239862,-73.91200244,25,2086155,5253 Sycamore Avenue,Not determined,0
40.90270572,-73.91065428,26,2086166,5291 Independence Avenue,Not determined,0
40.90057895,-73.91104355,27,2086172,5225 Independence Avenue,Horace Ginsbern & Associates [Harold Sussman],0
40.90253246,-73.91163768,28,2086161,5270 Sycamore Avenue,Robert M. Byers,0
40.90212507,-73.9117089,29,2091936,5260 Sycamore Avenue,Not determined,0
40.90152812,-73.91180543,30,2123782,5260 Sycamore Avenue,Ahneman & Younkheere,0
40.9027383,-73.91126877,31,2086163,5288 Sycamore Avenue,Sarsfield J. Sheridan,0
40.90280261,-73.91108965,32,2109423,5288 Sycamore Avenue,Not determined,0
40.90013453,-73.91247652,33,2101020,675 West 252nd Street,Not determined,0
40.89575019,-73.90972544,34,2085822,4765 Henry Hudson Parkway,Not determined,0
40.89596779,-73.90859387,35,2087605,4765 Henry Hudson Parkway,"James Renwick, Jr.",1
40.89596063,-73.9088621,36,2098757,4765 Henry Hudson Parkway,Not determined,0
40.89471554,-73.91320232,37,2086089,640 West 247th Street,"James Renwick, Jr.",1
40.89575358,-73.90866315,38,2098756,4765 Henry Hudson Parkway,James Renwick,1
40.89584668,-73.90917783,39,2098758,4765 Henry Hudson Parkway,Not determined,0
40.89640818,-73.91080381,40,2123943,640 West 249th Street,Not determined,0
40.89879292,-73.91175086,41,2117849,675 West 252nd Street,Not determined,0
40.89917925,-73.91169875,42,2117848,675 West 252nd Street,Not determined,0
40.89918311,-73.91196372,43,2117847,675 West 252nd Street,Not determined,0
40.89774143,-73.91240437,44,2117850,675 West 252nd Street,Not determined,0
40.89866312,-73.91274269,45,2117846,675 West 252nd Street,Not determined,0
40.89477933,-73.91171564,46,2086065,4695 Independence Avenue,Renwick & Sands,1
40.89839341,-73.9105906,47,2091940,4970 Independence Avenue,Charles W. Clinton,0
40.89666795,-73.91107101,48,2085859,640 West 249th Street,Dwight James Baum,2
40.89569784,-73.91225507,49,2086099,4715 Independence Avenue,Not determined,0
40.89838992,-73.91019387,50,2091939,4970 Independence Avenue,Not determined,0
40.89846223,-73.91026179,51,2091938,4970 Independence Avenue,Not determined,0
